date,pnl,exit_reason,entry_ce,entry_pe
2025-03-04,140174.99999999988,TP Hit,1360.0,557.9
2025-08-19,25368.74999999995,TP Hit,396.9,236.25
2025-08-20,28068.749999999985,TP Hit,356.5,236.65
2025-08-21,26549.999999999993,TP Hit,382.8,207.5
2025-08-22,731.25,EOD,327.75,214.9
2025-08-25,32568.74999999999,TP Hit,305.65,220.55
2025-08-26,11250.0,EOD,301.0,202.45
2025-08-28,28125.0,TP Hit,301.8,212.4
2025-08-29,25087.500000000015,TP Hit,284.6,206.7
2025-09-01,8381.250000000022,EOD,275.0,162.8
2025-09-02,-843.75,SL Hit on PE,227.0,159.55
2025-09-03,-9056.25,SL Hit on CE,205.0,163.3
2025-09-04,-8549.999999999993,SL Hit on PE,185.1,151.55
2025-09-05,-14062.5,SL Hit on PE,173.45,136.4
2025-09-08,-11081.250000000007,SL Hit on CE,160.75,129.7
2025-09-09,15750.0,EOD,156.6,112.5
2025-09-10,-20250.000000000015,SL Hit on CE,119.3,114.3
2025-09-11,20081.249999999993,EOD,124.05,83.65
2025-09-12,-14737.500000000015,SL Hit on CE,98.7,69.1
2025-09-15,3768.7499999999927,SL Hit on PE,78.0,47.55
